factor,bubblesort_runtime,quicksort_runtime
0,0.041348084,0.047324375
0.01,0.040964042,0.010573291
0.02,0.041154083,0.007613875
0.03,0.041497417,0.009443959
0.04,0.0426105,0.004435208
0.05,0.043911,0.004222792
0.06,0.044295583,0.002872833
0.07,0.045292417,0.00311625
0.08,0.046147667,0.002609625
0.09,0.045869167,0.0033645
0.1,0.047166417,0.002933208
0.11,0.045441292,0.002674209
0.12,0.048049,0.002139833
0.13,0.048295541,0.002648667
0.14,0.048216833,0.003768833
0.15,0.049704875,0.001928791
0.16,0.050877167,0.003254041
0.17,0.049577958,0.0023405
0.18,0.051749625,0.001853125
0.19,0.051084958,0.001902708
0.2,0.051315666,0.001763792
0.21,0.052999833,0.00164125
0.22,0.052760083,0.001766625
0.23,0.053806,0.001487542
0.24,0.053232708,0.001981958
0.25,0.054804083,0.001366959
0.26,0.055009333,0.001643084
0.27,0.056040417,0.001566792
0.28,0.054754291,0.001887792
0.29,0.05590925,0.001391375
0.3,0.056482458,0.001413917
0.31,0.05701325,0.001718208
0.32,0.055689875,0.001566333
0.33,0.056449833,0.001514959
0.34,0.056431458,0.001434625
0.35,0.056202625,0.001432792
0.36,0.057197541,0.001484542
0.37,0.057167584,0.001338709
0.38,0.05803,0.001315625
0.39,0.058759042,0.001404167
0.4,0.058133375,0.001447042
0.41,0.0585675,0.001531792
0.42,0.059848958,0.001306667
0.43,0.059004208,0.0013
0.44,0.059050708,0.00134225
0.45,0.060543166,0.001375708
0.46,0.059900709,0.001312084
0.47,0.05998725,0.002078375
0.48,0.061848958,0.001666042
0.49,0.05951725,0.001232417
0.5,0.061469375,0.001323125
0.51,0.060638125,0.001235625
0.52,0.060919667,0.001283625
0.53,0.061500041,0.001348333
0.54,0.061856792,0.001215209
0.55,0.061297917,0.0015065
0.56,0.061673333,0.00133725
0.57,0.062962125,0.001349792
0.58,0.0622395,0.001353667
0.59,0.063300833,0.001288625
0.6,0.062602166,0.001384334
0.61,0.061622584,0.001171875
0.62,0.063945708,0.001351833
0.63,0.062725542,0.001283166
0.64,0.063103,0.001248084
0.65,0.062606458,0.00130525
0.66,0.0623115,0.001177959
0.67,0.063547084,0.001575375
0.68,0.063409084,0.001248
0.69,0.063867583,0.001231792
0.7,0.063572167,0.001121041
0.71,0.064635292,0.001353833
0.72,0.064849208,0.001181667
0.73,0.063984333,0.001274584
0.74,0.064147125,0.001156834
0.75,0.064839625,0.001226792
0.76,0.064416292,0.001253875
0.77,0.065890125,0.001188875
0.78,0.065227417,0.001166166
0.79,0.066835584,0.001459542
0.8,0.068743417,0.001305542
0.81,0.06880125,0.001276084
0.82,0.066386833,0.001418166
0.83,0.066580125,0.001527166
0.84,0.065623625,0.001221167
0.85,0.064275458,0.0012695
0.86,0.065441375,0.001201875
0.87,0.066562875,0.001322208
0.88,0.06509175,0.00120525
0.89,0.065641,0.001235625
0.9,0.066233,0.001303458
0.91,0.066620875,0.001222209
0.92,0.06605075,0.001191292
0.93,0.067108375,0.001148667
0.94,0.065967,0.00118725
0.95,0.066501417,0.001129666
0.96,0.067252792,0.001261
0.97,0.06646175,0.001147416
0.98,0.066349417,0.001185041
0.99,0.0656355,0.001185417